time,pm2.5,pm10
2021/01/11-14:11:00,1.60,30.40
2021/01/11-14:11:01,1.60,31.10
2021/01/11-14:11:02,1.50,27.50
2021/01/11-14:11:03,1.60,27.50
2021/01/11-14:11:04,1.50,27.30
2021/01/11-14:11:05,1.60,27.70
2021/01/11-14:11:06,1.70,27.20
2021/01/11-14:11:07,1.70,26.20
2021/01/11-14:11:08,1.60,24.40
2021/01/11-14:11:09,1.60,23.50
2021/01/11-14:11:10,1.60,23.70
2021/01/11-14:11:11,1.50,23.20
2021/01/11-14:11:12,1.50,22.40
2021/01/11-14:11:13,1.50,22.20
2021/01/11-14:11:14,1.50,21.70
2021/01/11-14:11:15,1.40,22.50
2021/01/11-14:11:16,1.40,20.80
2021/01/11-14:11:17,1.40,21.50
2021/01/11-14:11:18,1.40,21.60
2021/01/11-14:11:19,1.40,22.40
2021/01/11-14:11:20,1.40,23.30
2021/01/11-14:11:21,1.40,21.90
2021/01/11-14:11:22,1.40,21.20
2021/01/11-14:11:23,1.40,21.30
2021/01/11-14:11:24,1.40,21.00
2021/01/11-14:11:25,1.40,20.30
2021/01/11-14:11:26,1.40,21.00
2021/01/11-14:11:27,1.40,19.60
2021/01/11-14:11:28,1.40,19.60
2021/01/11-14:11:29,1.40,19.00
2021/01/11-14:11:30,1.20,17.80
2021/01/11-14:11:31,1.20,17.20
2021/01/11-14:11:32,1.10,17.50
2021/01/11-14:11:33,1.00,17.00
2021/01/11-14:11:34,1.00,16.20
2021/01/11-14:11:35,0.90,15.30
2021/01/11-14:11:36,0.80,14.30
2021/01/11-14:11:37,0.80,14.50
2021/01/11-14:11:38,0.80,14.40
2021/01/11-14:11:39,0.80,15.10
2021/01/11-14:11:40,0.80,14.40
2021/01/11-14:11:41,0.80,15.00
2021/01/11-14:11:42,0.90,16.00
2021/01/11-14:11:43,0.90,15.50
2021/01/11-14:11:44,0.90,15.70
2021/01/11-14:11:45,1.00,15.40
2021/01/11-14:11:46,1.00,15.30
2021/01/11-14:11:47,0.90,14.60
2021/01/11-14:11:48,0.90,14.60
2021/01/11-14:11:49,0.90,14.50
2021/01/11-14:11:50,0.90,14.30
2021/01/11-14:11:51,0.90,14.20
2021/01/11-14:11:52,0.90,14.30
2021/01/11-14:11:53,0.90,14.50
2021/01/11-14:11:54,0.90,14.80
2021/01/11-14:11:55,1.00,15.90
2021/01/11-14:11:56,0.90,15.60
2021/01/11-14:11:57,1.00,17.90
2021/01/11-14:11:58,1.10,18.70
2021/01/11-14:11:59,1.10,18.40
2021/01/11-14:12:00,1.10,17.20
2021/01/11-14:12:01,1.10,17.10
2021/01/11-14:12:02,1.10,17.30
2021/01/11-14:12:03,1.10,17.30
2021/01/11-14:12:04,1.10,17.70
2021/01/11-14:12:05,1.20,17.90
2021/01/11-14:12:06,1.10,18.10
2021/01/11-14:12:07,1.10,18.30
2021/01/11-14:12:08,1.10,19.10
2021/01/11-14:12:09,1.10,19.40
2021/01/11-14:12:10,1.10,19.40
2021/01/11-14:12:11,1.10,18.90
2021/01/11-14:12:12,1.00,17.50
2021/01/11-14:12:13,1.00,17.50
2021/01/11-14:12:14,1.00,17.50
2021/01/11-14:12:15,1.00,19.60
2021/01/11-14:12:16,1.00,20.70
2021/01/11-14:12:17,1.00,20.60
2021/01/11-14:12:18,1.00,21.00
2021/01/11-14:12:19,1.00,20.50
2021/01/11-14:12:20,1.10,19.80
2021/01/11-14:12:21,1.20,20.30
2021/01/11-14:12:22,1.20,20.30
2021/01/11-14:12:23,1.20,19.50
2021/01/11-14:12:24,1.30,19.70
2021/01/11-14:12:25,1.30,19.30
2021/01/11-14:12:26,1.30,19.30
2021/01/11-14:12:27,1.20,17.30
2021/01/11-14:12:28,1.20,17.30
2021/01/11-14:12:29,1.10,17.30
2021/01/11-14:12:30,1.10,17.30
2021/01/11-14:12:31,1.10,17.30
2021/01/11-14:12:32,1.10,16.00
2021/01/11-14:12:33,1.10,17.50
2021/01/11-14:12:34,1.20,17.20
2021/01/11-14:12:35,1.20,17.70
2021/01/11-14:12:36,1.20,17.90
2021/01/11-14:12:37,1.20,17.30
2021/01/11-14:12:38,1.20,17.40
2021/01/11-14:12:39,1.20,16.90
2021/01/11-14:12:40,1.20,17.10
2021/01/11-14:12:41,1.20,17.60
2021/01/11-14:12:42,1.20,17.60
2021/01/11-14:12:43,1.20,17.20
