time,pm2.5,pm10,fan
2021/01/20-19:42:00,6.50,16.30,2
2021/01/20-19:42:01,6.30,15.60,2
2021/01/20-19:42:02,6.30,15.70,2
2021/01/20-19:42:03,6.40,16.10,2
2021/01/20-19:42:04,6.30,16.60,2
2021/01/20-19:42:05,6.20,16.50,2
2021/01/20-19:42:06,6.20,16.50,2
2021/01/20-19:42:07,6.10,17.30,2
2021/01/20-19:42:08,6.10,17.20,2
2021/01/20-19:42:09,6.10,17.30,2
2021/01/20-19:42:10,6.10,17.20,2
2021/01/20-19:42:11,6.10,17.30,2
2021/01/20-19:42:12,6.10,17.40,2
2021/01/20-19:42:13,6.20,17.40,2
2021/01/20-19:42:14,6.10,17.30,2
2021/01/20-19:42:15,6.20,17.90,2
2021/01/20-19:42:16,6.10,17.90,2
2021/01/20-19:42:17,6.00,17.70,2
2021/01/20-19:42:18,6.10,17.80,2
2021/01/20-19:42:19,6.00,17.80,2
2021/01/20-19:42:20,6.00,17.90,2
2021/01/20-19:42:21,6.10,18.10,2
2021/01/20-19:42:22,6.10,17.90,2
2021/01/20-19:42:23,6.10,18.00,2
2021/01/20-19:42:24,6.10,18.10,2
2021/01/20-19:42:25,6.10,18.30,2
2021/01/20-19:42:26,6.00,18.40,2
2021/01/20-19:42:27,6.00,18.30,2
2021/01/20-19:42:28,6.00,18.20,2
2021/01/20-19:42:29,6.00,18.20,2
2021/01/20-19:42:30,6.00,18.10,2
2021/01/20-19:42:31,6.00,18.00,2
2021/01/20-19:42:32,6.10,18.30,2
2021/01/20-19:42:33,6.20,18.00,2
2021/01/20-19:42:34,6.20,17.10,2
2021/01/20-19:42:35,6.30,17.20,2
2021/01/20-19:42:36,6.20,17.60,2
2021/01/20-19:42:37,6.20,17.10,2
2021/01/20-19:42:38,6.10,17.20,2
2021/01/20-19:42:39,6.00,17.10,2
2021/01/20-19:42:40,6.00,17.50,2
2021/01/20-19:42:41,6.00,18.10,2
2021/01/20-19:42:42,6.00,18.20,2
2021/01/20-19:42:43,5.90,18.20,2
2021/01/20-19:42:44,5.90,18.60,2
2021/01/20-19:42:45,5.90,18.20,2
2021/01/20-19:42:46,6.00,18.30,2
2021/01/20-19:42:47,6.00,18.60,2
2021/01/20-19:42:48,6.00,18.40,2
2021/01/20-19:42:49,6.00,18.60,2
2021/01/20-19:42:50,6.00,18.90,2
2021/01/20-19:42:51,6.00,18.90,2
2021/01/20-19:42:52,6.10,19.90,2
2021/01/20-19:42:53,6.10,20.00,2
2021/01/20-19:42:54,6.10,19.70,2
2021/01/20-19:42:55,6.10,19.60,2
2021/01/20-19:42:56,6.20,19.50,2
2021/01/20-19:42:57,6.20,19.90,2
2021/01/20-19:42:58,6.20,19.90,2
2021/01/20-19:42:59,6.20,19.80,2
2021/01/20-19:43:01,6.30,20.10,2
2021/01/20-19:43:02,6.30,20.30,2
2021/01/20-19:43:03,6.10,20.20,2
2021/01/20-19:43:04,6.00,20.00,2
2021/01/20-19:43:05,5.90,20.10,2
2021/01/20-19:43:06,5.90,19.70,2
2021/01/20-19:43:07,6.00,19.50,2
2021/01/20-19:43:08,6.00,19.30,2
2021/01/20-19:43:09,6.10,19.20,2
2021/01/20-19:43:10,6.10,19.30,2
2021/01/20-19:43:11,6.10,19.30,2
2021/01/20-19:43:12,6.10,19.00,2
2021/01/20-19:43:13,6.10,18.80,2
2021/01/20-19:43:14,6.20,19.00,2
2021/01/20-19:43:15,6.20,18.20,2
2021/01/20-19:43:16,6.10,18.20,2
2021/01/20-19:43:17,6.10,18.50,2
2021/01/20-19:43:18,6.10,18.90,2
2021/01/20-19:43:19,6.10,19.00,2
2021/01/20-19:43:20,6.10,19.00,2
2021/01/20-19:43:21,6.20,19.00,2
2021/01/20-19:43:22,6.10,18.70,2
2021/01/20-19:43:23,6.10,18.40,2
2021/01/20-19:43:24,6.10,18.50,2
2021/01/20-19:43:25,6.20,18.90,2
2021/01/20-19:43:26,6.20,18.60,2
2021/01/20-19:43:27,6.20,18.60,2
2021/01/20-19:43:28,6.20,18.50,2
2021/01/20-19:43:29,6.20,18.70,2
2021/01/20-19:43:30,6.10,18.40,2
2021/01/20-19:43:31,6.10,18.40,2
2021/01/20-19:43:32,6.20,18.50,2
2021/01/20-19:43:33,6.20,17.90,2
2021/01/20-19:43:34,6.30,18.20,2
2021/01/20-19:43:35,6.30,18.00,2
2021/01/20-19:43:36,6.40,18.20,2
2021/01/20-19:43:37,6.40,18.20,2
2021/01/20-19:43:38,6.30,18.50,2
2021/01/20-19:43:39,6.30,18.90,2
2021/01/20-19:43:40,6.40,19.00,2
2021/01/20-19:43:41,6.40,18.80,2
2021/01/20-19:43:42,6.30,18.70,2
2021/01/20-19:43:43,6.40,19.10,2
2021/01/20-19:43:44,6.30,18.90,2
2021/01/20-19:43:45,6.20,19.10,2
2021/01/20-19:43:46,6.20,19.00,2
2021/01/20-19:43:47,6.20,18.40,2
2021/01/20-19:43:48,6.20,17.60,2
2021/01/20-19:43:49,6.20,18.00,2
2021/01/20-19:43:50,6.20,18.40,2
2021/01/20-19:43:51,6.00,17.80,2
2021/01/20-19:43:52,6.10,18.20,2
2021/01/20-19:43:53,6.10,18.00,2
2021/01/20-19:43:54,6.10,18.30,2
2021/01/20-19:43:55,6.00,17.80,2
2021/01/20-19:43:56,6.00,18.40,2
2021/01/20-19:43:57,6.00,18.60,2
2021/01/20-19:43:58,6.00,18.70,2
2021/01/20-19:43:59,6.00,18.40,2
2021/01/20-19:44:00,6.00,18.80,2
2021/01/20-19:44:01,6.00,18.60,2
2021/01/20-19:44:02,6.00,19.10,2
2021/01/20-19:44:03,5.90,19.10,2
2021/01/20-19:44:04,5.90,19.90,2
2021/01/20-19:44:05,5.90,19.80,2
2021/01/20-19:44:06,5.80,19.80,2
2021/01/20-19:44:07,5.80,19.90,2
2021/01/20-19:44:08,5.90,19.60,2
2021/01/20-19:44:09,5.80,19.30,2
2021/01/20-19:44:10,5.70,19.00,2
2021/01/20-19:44:11,5.60,18.60,2
2021/01/20-19:44:12,5.60,18.50,2
2021/01/20-19:44:13,5.60,17.80,2
2021/01/20-19:44:14,5.60,17.80,2
2021/01/20-19:44:15,5.60,17.60,2
2021/01/20-19:44:16,5.70,17.60,2
2021/01/20-19:44:17,5.70,17.70,2
2021/01/20-19:44:18,5.80,18.30,2
2021/01/20-19:44:19,5.70,18.00,2
2021/01/20-19:44:20,5.80,17.60,2
2021/01/20-19:44:21,5.80,17.80,2
2021/01/20-19:44:22,5.80,17.40,2
2021/01/20-19:44:23,5.80,17.20,2
2021/01/20-19:44:24,5.70,16.80,2
2021/01/20-19:44:25,5.70,17.10,2
2021/01/20-19:44:26,5.70,17.10,2
2021/01/20-19:44:27,5.60,17.30,2
