time,pm2.5,pm10,fan
2021/01/20-20:03:17,3.20,8.90,1
2021/01/20-20:03:18,3.10,9.00,1
2021/01/20-20:03:19,3.10,9.20,1
2021/01/20-20:03:20,3.10,9.10,1
2021/01/20-20:03:21,3.10,9.20,1
2021/01/20-20:03:22,3.10,9.80,1
2021/01/20-20:03:23,3.20,10.30,1
2021/01/20-20:03:24,3.20,10.60,1
2021/01/20-20:03:25,3.20,10.90,1
2021/01/20-20:03:26,3.20,10.80,1
2021/01/20-20:03:27,3.20,10.70,1
2021/01/20-20:03:28,3.20,11.10,1
2021/01/20-20:03:29,3.30,11.20,1
2021/01/20-20:03:30,3.30,11.20,1
2021/01/20-20:03:31,3.30,11.30,1
2021/01/20-20:03:32,3.30,11.30,1
2021/01/20-20:03:33,3.40,12.00,1
2021/01/20-20:03:34,3.40,12.10,1
2021/01/20-20:03:35,3.40,12.10,1
2021/01/20-20:03:36,3.30,11.70,1
2021/01/20-20:03:37,3.40,11.60,1
2021/01/20-20:03:38,3.40,11.60,1
2021/01/20-20:03:39,3.40,11.60,1
2021/01/20-20:03:40,3.40,11.80,1
2021/01/20-20:03:41,3.40,11.70,1
2021/01/20-20:03:42,3.40,11.80,1
2021/01/20-20:03:43,3.30,11.50,1
