time,pm2.5,pm10,fan
2021/01/20-19:26:37,15.30,73.00,3
2021/01/20-19:26:38,15.00,71.10,3
2021/01/20-19:26:39,14.80,70.20,3
2021/01/20-19:26:40,14.80,69.70,3
2021/01/20-19:26:41,14.60,69.80,3
2021/01/20-19:26:42,14.50,68.50,3
2021/01/20-19:26:43,14.50,69.00,3
2021/01/20-19:26:44,14.40,68.20,3
2021/01/20-19:26:45,14.40,68.20,3
2021/01/20-19:26:46,14.20,68.20,3
2021/01/20-19:26:47,14.20,70.30,3
2021/01/20-19:26:48,14.20,70.20,3
2021/01/20-19:26:49,14.20,71.00,3
2021/01/20-19:26:50,14.00,70.50,3
2021/01/20-19:26:51,13.90,70.30,3
2021/01/20-19:26:52,13.80,70.60,3
2021/01/20-19:26:53,13.70,71.40,3
2021/01/20-19:26:54,13.70,72.60,3
2021/01/20-19:26:55,13.50,70.40,3
2021/01/20-19:26:56,13.50,70.20,3
2021/01/20-19:26:57,13.50,70.50,3
2021/01/20-19:26:58,13.40,69.70,3
2021/01/20-19:26:59,13.30,69.30,3
2021/01/20-19:27:00,13.20,69.60,3
2021/01/20-19:27:01,13.10,68.70,3
2021/01/20-19:27:02,13.00,69.20,3
2021/01/20-19:27:03,13.00,67.90,3
2021/01/20-19:27:04,12.90,67.20,3
2021/01/20-19:27:05,12.80,66.30,3
2021/01/20-19:27:06,12.70,66.20,3
2021/01/20-19:27:07,12.80,66.50,3
2021/01/20-19:27:08,12.80,66.20,3
2021/01/20-19:27:09,12.90,66.70,3
2021/01/20-19:27:10,12.80,66.40,3
2021/01/20-19:27:11,12.80,65.30,3
2021/01/20-19:27:12,12.80,65.90,3
2021/01/20-19:27:13,12.70,66.00,3
2021/01/20-19:27:14,12.70,65.30,3
2021/01/20-19:27:15,12.50,64.40,3
2021/01/20-19:27:16,12.50,62.80,3
2021/01/20-19:27:17,12.40,59.90,3
2021/01/20-19:27:18,12.40,59.90,3
2021/01/20-19:27:19,12.30,59.80,3
2021/01/20-19:27:20,12.30,58.80,3
2021/01/20-19:27:21,12.10,58.20,3
2021/01/20-19:27:22,12.10,57.10,3
2021/01/20-19:27:23,12.20,56.60,3
2021/01/20-19:27:24,12.10,56.10,3
2021/01/20-19:27:25,12.00,54.80,3
2021/01/20-19:27:26,12.00,55.50,3
2021/01/20-19:27:27,11.90,55.10,3
2021/01/20-19:27:28,12.00,55.70,3
2021/01/20-19:27:29,12.20,57.90,3
2021/01/20-19:27:30,12.20,57.30,3
2021/01/20-19:27:31,12.10,56.80,3
2021/01/20-19:27:32,12.20,56.20,3
2021/01/20-19:27:33,12.20,56.50,3
2021/01/20-19:27:34,12.20,56.30,3
2021/01/20-19:27:35,12.20,55.70,3
2021/01/20-19:27:36,12.20,55.90,3
2021/01/20-19:27:37,12.30,56.30,3
2021/01/20-19:27:38,12.20,57.30,3
2021/01/20-19:27:39,12.10,57.90,3
